table_name,column_name,column_key,column_default,is_nullable,data_type,column_type,extra,referenced_table_name,referenced_column_name
CHILD_CAREGIVER_PERMISSION,CREATED_BY,,,NO,int,int(10) unsigned,,,
CHILD_IMMUNIZATION,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
CHILD_IMMUNIZATION,CHILDID,MUL,,NO,int,int(10) unsigned,,CHILD,ID
CHILD_IMMUNIZATION,VACCINE,,,NO,varchar,varchar(1000),,,
CHILD_IMMUNIZATION,AGE,,,NO,varchar,varchar(1000),,,
CHILD_IMMUNIZATION,DATE_COMPLETED,,,YES,timestamp,timestamp,,,
CHILD_LENGTH,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
CHILD_LENGTH,CHILDID,MUL,,NO,int,int(10) unsigned,,CHILD,ID
CHILD_LENGTH,LENGTH,,,NO,varchar,varchar(255),,,
CHILD_LENGTH,TAKEN_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
CHILD_LENGTH,CREATED_BY,MUL,,NO,int,int(10) unsigned,,USER,ID
CHILD_LENGTH,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
CHILD_LENGTH,IS_USER_DISPUTE,,0,YES,tinyint,tinyint(1),,,
CHILD_LENGTH,ISSYSTEM,,0,YES,tinyint,tinyint(1),,,
CHILD_LENGTH,CHILD_PROGRESS_REFERENCE,MUL,,YES,int,int(10) unsigned,,CHILD_PROGRESS,ID
CHILD_LENGTH,IMAGE_FILE,,,YES,varchar,varchar(200),,,
CHILD_LENGTH,ISCLINIC,,0,YES,tinyint,tinyint(4),,,
CHILD_LENGTH,AI_LENGTH,,,YES,varchar,varchar(255),,,
CHILD_MEDICATION,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
CHILD_MEDICATION,TAKEN_AT,,CURRENT_TIMESTAMP,NO,timestamp,timestamp,,,
CHILD_MEDICATION,CHILDID,MUL,,NO,int,int(10) unsigned,,CHILD,ID
CHILD_MEDICATION,TEMPERATURE,,,YES,float,"float(6,2)",,,
CHILD_MEDICATION,TEMPERATURE_UNIT,MUL,,YES,int,int(10) unsigned,,MEASURE_UNIT,ID
CHILD_MEDICATION,CREATED_BY,MUL,,NO,int,int(10) unsigned,,USER,ID
CHILD_MEDICATION,CREATED_AT,,CURRENT_TIMESTAMP,NO,timestamp,timestamp,,,
CHILD_MEDICATION,MEDICATION_NAME,,,NO,varchar,varchar(250),,,
CHILD_MEDICATION,DOSAGE,,,NO,varchar,varchar(250),,,
CHILD_MOMENT,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
CHILD_MOMENT,MILESTONEID,MUL,,YES,int,int(10) unsigned,,MILESTONE,ID
CHILD_MOMENT,HAPPEN_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
CHILD_MOMENT,CHILDID,MUL,,NO,int,int(10) unsigned,,CHILD,ID
CHILD_MOMENT,DESCRIPTION,,,YES,text,text,,,
CHILD_MOMENT,IMAGE_URL,,,YES,varchar,varchar(250),,,
CHILD_MOMENT,CREATED_BY,MUL,,YES,int,int(10) unsigned,,USER,ID
CHILD_MOMENT,CREATED_AT,,CURRENT_TIMESTAMP,YES,timestamp,timestamp,,,
CHILD_PROGRESS,ID,PRI,,NO,int,int(10) unsigned,auto_increment,,
CHILD_PROGRESS,CHILDID,MUL,,NO,int,int(10) unsigned,,CHILD,ID
CHILD_PROGRESS,PROGRESS_TYPEID,MUL,,NO,int,int(10) unsigned,,PROGRESS_TYPE,ID
CHILD_PROGRESS,CONVERTED_SI_VALUE,,,NO,float,"float(8,2)",,,
CHILD_PROGRESS,MEASURE_UNITID,MUL,,NO,int,int(10) unsigned,,MEASURE_UNIT,ID
CHILD_PROGRESS,AT_BIRTH,,0,NO,tinyint,tinyint(1),,,
CHILD_PROGRESS,ISACTIVE,,1,NO,tinyint,tinyint(1),,,
CHILD_PROGRESS,IS_MISCALE,,0,NO,tinyint,tinyint(1),,,
